時間,行程,建議交通時間,建議停留時間,備註與建議,guideKey,googleMapLink
第一天：12 月 14 日（日）,抵達慕尼黑,,,,,
13:10,抵達慕尼黑機場 (MUC) / 入境通關,,1.5 小時,[P0] 購買 Airport-City-Day-Ticket Group (€30.50)。確認全員保暖裝備。,慕尼黑機場,https://goo.gl/maps/MunichAirport
15:00,前往 Westendstraße 民宿,50 分鐘,,搭乘 S-Bahn (S1/S8) 至主要轉運點。注意：週日超市未開，需在機場或車站購買必需品。,慕尼黑住宿,https://goo.gl/maps/MunichStay
16:30,瑪麗恩廣場 (Marienplatz) & 聖誕市集,地鐵 U4/U5,2 小時,感受聖誕氣氛。避免過度勞累，簡單熱食為主 (香腸/麵包)。,瑪麗恩廣場,https://goo.gl/maps/Marienplatz
19:00,返回民宿 & 調整時差,,,[強制休整] 嚴禁熬夜，21:00 前熄燈，適應歐洲冬令時間。,民宿休息,
,,,,,,
第二天：12 月 15 日（一）,慕尼黑舊城巡禮,,,,,
09:00,穀物市場 (Viktualienmarkt) 早餐,地鐵/步行,1.5 小時,品嘗鮮榨果汁與巴伐利亞白香腸 (Weißwurst)。,穀物市場,https://goo.gl/maps/Viktualienmarkt
10:30,老彼得教堂 (St. Peter's Church) 登塔,步行,1 小時,[體力注意] 需爬樓梯，若長輩膝蓋不適可省略，改在周邊逛街。,老彼得教堂,https://goo.gl/maps/StPeterMunich
12:30,皇家啤酒屋 (Hofbräuhaus) 午餐,步行,2 小時,[P0] 體驗經典豬腳與黑啤酒。現場氣氛熱鬧，需主動找位。,皇家啤酒屋,https://goo.gl/maps/Hofbrauhaus
15:00,慕尼黑王宮 (Residenz) 或 逛街購物,步行,2.5 小時,根據體力選擇。若逛王宮，重點參觀 Antiquarium (古物大廳)。,慕尼黑王宮,https://goo.gl/maps/ResidenzMunich
18:00,超市採買 (REWE/Lidl),,1 小時,採購明日早餐及行動糧 (水、水果、麵包)。,超市,
,,,,,,
第三天：12 月 16 日（二）,新天鵝堡突襲,,,,,
08:30,搭乘火車前往福森 (Füssen),火車 (BRB),2 小時,[P0] 使用 Bayern Ticket。務必提早 20 分鐘抵達月台佔位。,福森車站,https://goo.gl/maps/FussenHbf
11:00,轉乘巴士至霍恩施萬高 (Hohenschwangau),巴士 73/78,20 分鐘,下車後步行或搭馬車上山 (視現場排隊狀況)。,霍恩施萬高,https://goo.gl/maps/Hohenschwangau
12:30,新天鵝堡 (Neuschwanstein Castle),步行/馬車,2.5 小時,[P0] 依預約時間入場。瑪莉橋 (Marienbrücke) 若結冰關閉則取消前往。,新天鵝堡,https://goo.gl/maps/Neuschwanstein
15:30,下山 & 返回福森市區,,1 小時,若時間充裕可在福森小鎮喝咖啡暖身。,福森小鎮,
17:05,搭乘火車返回慕尼黑,火車 (BRB),2 小時,車上休息補眠。,慕尼黑中央車站,
,,,,,,
第四天：12 月 17 日（三）,科技與寧靜,,,,,
09:30,BMW 博物館 & BMW Welt,地鐵 U3,2.5 小時,參觀 BMW 總部與交車中心。建築本身即是藝術。,BMW世界,https://goo.gl/maps/BMWWorld
12:30,奧林匹克公園 (Olympiapark) 午餐,,1.5 小時,在 BMW Welt 內或周邊餐廳用餐。,奧林匹克公園,
14:30,寧芬堡宮 (Nymphenburg Palace),Tram 17,2 小時,巴伐利亞夏宮。散步花園 (天鵝與運河)，享受午後陽光。,寧芬堡宮,https://goo.gl/maps/Nymphenburg
17:30,奧古斯丁啤酒館 (Augustiner-Keller),,2 小時,在地人推薦的啤酒花園 (室內區)，比皇家啤酒屋更道地。,Augustiner,https://goo.gl/maps/Augustiner
,,,,,,
第五天：12 月 18 日（四）,移動日：前往薩爾斯堡,,,,,
09:00,退房 & 前往慕尼黑中央車站,S-Bahn,40 分鐘,檢查護照、票券。購買 Bayern Ticket。,慕尼黑中央車站,https://goo.gl/maps/MunichHbf
10:00,搭乘火車前往薩爾斯堡 (Salzburg),火車 (M) / RJ,1.5 - 2 小時,欣賞沿途巴伐利亞鄉村與阿爾卑斯山景。,薩爾斯堡車站,https://goo.gl/maps/SalzburgHbf
13:00,薩爾斯堡民宿 Check-in,,1 小時,寄放行李。確認薩爾斯堡卡 (Salzburg Card) 啟用時間。,薩爾斯堡住宿,
14:30,米拉貝爾花園 (Mirabellgarten),步行/公車,1 小時,《真善美》電影場景。拍攝霍恩薩爾斯堡要塞的最佳角度。,米拉貝爾花園,https://goo.gl/maps/Mirabell
16:00,糧食胡同 (Getreidegasse) & 聖誕市集,步行,2 小時,參觀莫札特出生地外觀。逛著名的鐵鑄招牌街。,糧食胡同,https://goo.gl/maps/Getreidegasse
,,,,,,
第六天：12 月 19 日（五）,莫札特與要塞,,,,,
09:30,霍恩薩爾斯堡要塞 (Hohensalzburg Fortress),纜車,2.5 小時,[P0] 使用薩爾斯堡卡免費搭纜車。俯瞰舊城全景與阿爾卑斯山。,薩爾斯堡要塞,https://goo.gl/maps/Hohensalzburg
12:30,舊城區傳統午餐 (Stieglkeller),步行,1.5 小時,位於要塞下方，風景優美的餐廳。,Stieglkeller,
14:30,薩爾斯堡大教堂 & 卡比地廣場,步行,1.5 小時,參觀受洗池與地下室。廣場上有巨大的金球藝術品。,薩爾斯堡大教堂,https://goo.gl/maps/SalzburgDom
16:30,莫札特咖啡館 (Café Mozart) 下午茶,,1.5 小時,品嘗正宗薩爾斯堡舒芙蕾 (Salzburger Nockerl)。,莫札特咖啡,
,,,,,,
第七天：12 月 20 日（六）,湖區仙境,,,,,
08:30,前往國王湖 (Königssee) / 哈修塔特,巴士/火車,2 小時,視天氣與交通狀況決定 (冬季船班較少)。若去國王湖，搭巴士 840 轉 841。,國王湖,https://goo.gl/maps/Konigssee
11:00,國王湖遊船 & 聖巴多羅買教堂,船,2 小時,欣賞冬季湖景與著名的回音壁小號表演。紅蔥頭教堂拍照。,聖巴多羅買教堂,
13:30,湖畔午餐 (煙燻鱒魚),,1.5 小時,品嘗當地特產煙燻鱒魚餐。,湖畔餐廳,
16:00,返回薩爾斯堡,,2 小時,車程中休息。,薩爾斯堡,
18:30,薩爾斯堡聖誕市集 (Domplatz),,1.5 小時,把握離開前的最後一晚，喝熱紅酒 (Glühwein)。,Domplatz市集,
,,,,,,
第八天：12 月 21 日（日）,移動日：前進維也納,,,,,
10:00,搭乘 Westbahn 前往維也納 (Vienna),火車 (Westbahn),2.5 小時,[P0] 提早線上購票。建議坐在上層車廂欣賞風景。,維也納西站,https://goo.gl/maps/WienWestbahnhof
14:40,轉乘 Tram 6 往 Geiereckstraße,路面電車 Tram 6,30 分鐘,走出大廳搭車。優勢：低底盤電車，免搬行李上下地鐵樓梯。,Tram 6,
15:10,Quellenplatz 下車步行至公寓,步行,2 分鐘,抵達維也納據點 (Reumannplatz 周邊)。,Quellenplatz,
15:30,入住 & 全員強制休整,,2 小時,[強制休整] 檢查暖氣，全員脫鞋抬腿 1 小時。本日不進市中心，保留體力。,維也納公寓,
17:30,社區晚餐 (Ferhat Döner),步行,1.5 小時,推薦 Ferhat Döner (炭烤風味) 或去 BILLA PLUS 超市買烤雞。,Ferhat Döner,https://goo.gl/maps/FerhatDoner
,,,,,,
第九天：12 月 22 日（一）,帝國核心 (熊布朗宮),,,,,
09:45,前往熊布朗宮 (Schönbrunn),Tram 6 轉 U4,45 分鐘,搭 Tram 6 至 Margaretengürtel 轉 U4 (綠線) 至 Schönbrunn。避開 Karlsplatz 迷宮。,熊布朗宮站,
10:30,熊布朗宮 (Schönbrunn Palace) 入場,步行,2 小時,[P0] 依預約時間準時入場 (Grand Tour)。務必使用中文語音導覽，必看大畫廊 (Great Gallery)。,熊布朗宮,https://goo.gl/maps/Schonbrunn
12:30,宮殿前聖誕市集 & 午餐,步行,1.5 小時,在市集解決午餐 (麵包湯、香腸)。感受皇家聖誕氛圍。,熊布朗宮市集,
14:00,漫步至海神噴泉 (Neptune Fountain),步行,1 小時,若體力允許，可爬上凱旋門 (Gloriette) 眺望維也納市景，否則在噴泉處折返。,海神噴泉,
16:00,納許市場 (Naschmarkt) / 卡爾教堂,地鐵 U4,2 小時,搭 U4 回市區。逛傳統市場或拍卡爾教堂倒影 (若水池未結冰)。,納許市場,https://goo.gl/maps/Naschmarkt
18:30,維也納肋排 (Ribs of Vienna),,2 小時,需提前預約。份量巨大，建議分食。,Ribs of Vienna,https://goo.gl/maps/RibsOfVienna
,,,,,,
第十天：12 月 23 日（二）,皇城最後巡禮,,,,,
09:30,霍夫堡皇宮 (Hofburg) & 英雄廣場,地鐵/步行,2 小時,參觀茜茜公主博物館 (Sisi Museum) 與皇家銀器館。,霍夫堡皇宮,https://goo.gl/maps/Hofburg
12:00,中央咖啡館 (Café Central) 或 德梅爾,步行,1.5 小時,維也納咖啡館文化體驗。若排隊過長，可改選其他老店。,中央咖啡館,https://goo.gl/maps/CafeCentral
14:00,史蒂芬大教堂 (Stephansdom) & 格拉本大街,步行,2.5 小時,參觀教堂內部。沿著 Graben 大街與 Kohlmarkt 進行最後採購 (莫札特巧克力、精品)。,史蒂芬大教堂,https://goo.gl/maps/Stephansdom
17:00,黑死病紀念柱 & 聖誕燈飾,步行,1 小時,欣賞維也納著名的懸掛水晶燈飾。,格拉本大街,
18:30,惜別晚餐 (Figlmüller 炸牛排),,2 小時,[P0] 著名的比臉大炸豬排/牛排。為旅程畫下句點。,Figlmüller,https://goo.gl/maps/Figlmuller
,,,,,,
第十一天：12 月 24 日（三）,賦歸,,,,,
08:00,打包行李 & 退房,,1.5 小時,檢查護照、錢包、手機。確認公寓鑰匙歸還方式。,維也納公寓,
09:30,前往維也納機場 (VIE),計程車/機場快線,1 小時,預留充足時間辦理退稅與登機手續。,維也納機場,https://goo.gl/maps/ViennaAirport
11:00,機場最後衝刺 (免稅店),,1.5 小時,購買未買齊的伴手禮。,,
13:00,搭機返程,,,[任務結束] 平安返家。,甜蜜的家,
,,,,,,
